#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2010 01 04 14 50 999 21.5 25.6  6.63 12.12  8.41 999 1007.7  -0.3   2.8 999.0 99.0 99.00
2010 01 04 15 50 999 22.6 27.2  6.36 11.43  8.09 999 1006.7  -0.7   2.8 999.0 99.0 99.00
2010 01 04 16 50 999 22.2 27.3  7.16 12.12  8.34 999 1005.6  -1.1   2.7 999.0 99.0 99.00
2010 01 04 17 50 999 23.2 28.4  5.80 11.43  7.64 999 1005.0  -1.4   2.7 999.0 99.0 99.00
2010 01 04 18 50 999 22.4 28.2  7.28 12.12  8.45 999 1004.0  -1.5   2.7 999.0 99.0 99.00
2010 01 04 19 50 999 21.8 25.7  7.24 11.43  8.50 999 1003.0  -1.7   2.8 999.0 99.0 99.00
2010 01 04 23 50 999 22.7 28.5  8.66 12.90  9.21 999  998.4  -2.3   2.7 999.0 99.0 99.00
2010 01 05 00 50 999 23.8 28.1  8.49 12.12  9.15 999  997.3  -2.8   2.7 999.0 99.0 99.00
2010 01 05 01 50 999 22.7 27.2  8.97 12.12  9.32 999  996.0  -2.9   2.7 999.0 99.0 99.00
2010 01 05 02 50 999 23.9 28.3  8.04 12.12  9.21 999  994.9  -2.6   2.7 999.0 99.0 99.00
2010 01 05 03 50 999 22.6 30.0  9.13 12.12  9.70 999  994.0  -2.6   2.7 999.0 99.0 99.00
2010 01 05 04 50 999 23.7 29.6  9.10 12.90  9.44 999  993.0  -2.6   2.7 999.0 99.0 99.00
2010 01 05 05 50 999 24.1 28.5  9.09 12.90  9.48 999  992.6  -2.7   2.8 999.0 99.0 99.00
2010 01 05 06 50 999 23.0 28.5  9.64 13.79 10.17 999  992.1  -2.8   2.8 999.0 99.0 99.00
2010 01 05 07 50 999 22.1 27.2  9.17 13.79  9.84 999  991.7  -2.7   2.8 999.0 99.0 99.00
2010 01 05 08 50 999 21.4 26.7  8.62 12.90  9.35 999  990.9  -2.6   2.8 999.0 99.0 99.00
2010 01 05 09 50 999 20.0 25.6 99.00 99.00 99.00 999  990.5  -2.4   2.8 999.0 99.0 99.00
2010 01 05 10 50 999 20.9 25.8 99.00 99.00 99.00 999  990.1  -2.3   2.8 999.0 99.0 99.00
2010 01 05 11 50 999 19.9 24.1  8.79 13.79  9.69 999  989.9  -1.9   2.8 999.0 99.0 99.00
2010 01 05 12 50 999 20.7 24.8  8.32 12.90  9.49 999  989.7  -1.5   2.8 999.0 99.0 99.00
2010 01 05 13 50 999 19.1 23.5  9.59 12.90 10.05 999  989.3  -0.8   2.7 999.0 99.0 99.00
2010 01 05 14 50 999 18.8 23.0  8.24 14.81  9.27 999  989.0  -0.1   2.7 999.0 99.0 99.00
2010 01 05 15 50 999 17.5 20.9  8.04 12.90  9.52 999  988.7   0.5   2.7 999.0 99.0 99.00
2010 01 05 16 50 999 15.4 19.2  8.24 12.90  9.39 999  988.8   1.5   2.8 999.0 99.0 99.00
2010 01 05 17 50 999  8.8 10.6 99.00 99.00 99.00 999  989.3   3.1   2.8 999.0 99.0 99.00
2010 01 05 18 50 999  8.2 10.4  7.26 13.79  9.43 999  990.6   3.4   2.8 999.0 99.0 99.00
2010 01 05 19 50 999  8.3 10.4  7.70 13.79  9.75 999  991.7   3.2   2.8 999.0 99.0 99.00
2010 01 05 20 50 999  8.9 10.8  6.83 12.90  9.46 999  992.6   3.3   2.8 999.0 99.0 99.00
2010 01 05 21 50 999  8.3 10.6  6.70 14.81  9.40 999  993.1   3.5   2.8 999.0 99.0 99.00
2010 01 05 22 50 999  8.4 10.1  6.43 12.90  9.41 999  993.6   3.3   2.8 999.0 99.0 99.00
2010 01 05 23 50 999  9.2 11.0  6.16 13.79  9.39 999  993.8   3.5   2.8 999.0 99.0 99.00
2010 01 06 00 50 999  8.6  9.8  5.90 12.90  9.38 999  994.1   3.6   2.8 999.0 99.0 99.00
2010 01 06 01 50 999 10.9 13.3  6.12 12.12  9.49 999  994.2   3.6   2.8 999.0 99.0 99.00
2010 01 06 02 50 999 10.7 12.6  5.48 11.43  8.65 999  994.6   3.6   2.8 999.0 99.0 99.00
2010 01 06 03 50 999 10.1 12.0  5.72 12.12  8.68 999  995.3   3.6   2.8 999.0 99.0 99.00
2010 01 06 04 50 999 10.5 12.1  4.52 12.12  7.89 999  995.9   3.4   2.9 999.0 99.0 99.00
2010 01 06 05 50 999  9.7 11.6  4.53 11.43  7.76 999  996.4   3.3   2.9 999.0 99.0 99.00
2010 01 06 06 50 999  9.5 11.2  4.74 11.43  8.13 999  996.8   3.1   2.9 999.0 99.0 99.00
2010 01 06 07 50 999  9.9 12.0  4.63 11.43  8.03 999  997.0   2.7   2.9 999.0 99.0 99.00
2010 01 06 08 50 999 11.1 13.0  4.48 11.43  7.99 999  996.9   2.5   2.9 999.0 99.0 99.00
2010 01 06 09 50 999 10.8 13.0  4.48 12.12  7.80 999  997.1   2.5   2.9 999.0 99.0 99.00
2010 01 06 10 50 999 12.4 14.6  4.12 11.43  7.71 999  997.2   2.4   2.9 999.0 99.0 99.00
2010 01 06 11 50 999 12.0 14.1  4.19 12.12  7.76 999  997.3   2.9   2.9 999.0 99.0 99.00
2010 01 06 12 50 999 11.5 13.5  3.82  9.09  7.20 999  997.6   2.9   2.9 999.0 99.0 99.00
2010 01 06 13 50 999 12.5 15.3  3.65 10.00  7.23 999  997.6   3.0   2.9 999.0 99.0 99.00
2010 01 06 14 50 999 13.1 16.4  3.80 10.81  7.00 999  997.4   3.2   2.9 999.0 99.0 99.00
2010 01 06 15 50 999 13.8 17.0  3.47 10.81  6.38 999  997.4   3.1   2.9 999.0 99.0 99.00
2010 01 06 16 50 999 12.5 15.0  3.46 10.00  6.59 999  996.9   3.1   2.9 999.0 99.0 99.00
2010 01 06 17 50 999 12.8 15.5  3.47 10.00  6.32 999  997.1   3.2   2.9 999.0 99.0 99.00
2010 01 06 18 50 999 13.6 15.9  3.31  9.09  6.10 999  997.4   3.4   2.9 999.0 99.0 99.00
2010 01 06 19 50 999 13.9 16.3  3.32  7.69  6.03 999  997.7   3.3   2.9 999.0 99.0 99.00
2010 01 06 20 50 999 13.7 16.2  3.74 10.00  6.39 999  998.2   3.4   2.9 999.0 99.0 99.00
2010 01 06 21 50 999 12.6 14.3  3.69  8.33  6.40 999  998.5   3.5   2.8 999.0 99.0 99.00
2010 01 06 22 50 999 12.5 14.6  3.53  9.09  6.48 999  998.6   3.4   2.9 999.0 99.0 99.00
2010 01 06 23 50 999 12.5 14.6  3.67  9.09  6.92 999  998.9   3.4   2.9 999.0 99.0 99.00
2010 01 07 00 50 999 13.5 15.9  3.83  8.33  6.74 999  999.1   3.2   2.9 999.0 99.0 99.00
2010 01 07 01 50 999 14.4 17.4  3.62  9.09  6.64 999  999.6   2.8   2.9 999.0 99.0 99.00
2010 01 07 02 50 999 13.9 16.9  3.78  8.33  6.60 999  999.7   2.6   2.9 999.0 99.0 99.00
2010 01 07 03 50 999 14.5 17.3  3.98  9.09  6.68 999  999.9   2.4   2.9 999.0 99.0 99.00
2010 01 07 04 50 999 13.3 15.8  4.09 10.00  6.70 999  999.8   2.2   2.9 999.0 99.0 99.00
2010 01 07 05 50 999 13.4 16.2  3.91  9.09  6.54 999 1000.2   2.0   2.9 999.0 99.0 99.00
2010 01 07 06 50 999 12.7 14.5  3.78  8.33  6.43 999 1000.5   1.9   2.8 999.0 99.0 99.00
2010 01 07 07 50 999 12.9 15.1  3.66  9.09  6.11 999 1000.8   1.8   2.8 999.0 99.0 99.00
2010 01 07 08 50 999 12.4 14.4  3.47  9.09  6.28 999 1001.0   1.8   2.8 999.0 99.0 99.00
2010 01 07 09 50 999 12.8 15.4  3.56  9.09  6.17 999 1001.0   1.9   2.8 999.0 99.0 99.00
2010 01 07 10 50 999 12.3 14.6  3.77  9.09  6.51 999 1000.9   2.1   2.8 999.0 99.0 99.00
2010 01 07 11 50 999 11.4 13.8  3.74  8.33  6.48 999 1001.0   2.3   2.8 999.0 99.0 99.00
2010 01 07 12 50 999 12.2 15.5  3.50  9.09  6.65 999 1001.2   2.3   2.8 999.0 99.0 99.00
