YYYY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS
1999 01 05 06 999 99.0 99.0  3.04  9.09  6.35 999 1004.5   2.7   2.2 999.0 99.0
1999 01 05 07 999 99.0 99.0  3.09  7.14  6.38 999 1004.1   3.3   2.2 999.0 99.0
1999 01 05 08 999 99.0 99.0  2.94  8.33  6.40 999 1003.6   3.5   2.2 999.0 99.0
1999 01 05 09 999 99.0 99.0  3.25  9.09  6.69 999 1002.9   3.3   2.2 999.0 99.0
1999 01 05 10 999 99.0 99.0  3.17  7.69  6.46 999 1002.6   3.2   2.1 999.0 99.0
1999 01 05 11 999 99.0 99.0  3.75  8.33  6.81 999 1002.2   3.1   2.1 999.0 99.0
1999 01 05 12 999 99.0 99.0  3.77  9.09  6.65 999 1001.5   3.2   2.1 999.0 99.0
1999 01 05 13 999 99.0 99.0  4.01  9.09  6.96 999 1001.1   3.2   2.1 999.0 99.0
1999 01 05 14 999 99.0 99.0  4.17  9.09  7.03 999 1000.4   3.2   2.1 999.0 99.0
1999 01 05 15 999 99.0 99.0  4.40  9.09  7.10 999 1000.2   2.8   2.1 999.0 99.0
1999 01 05 16 999 99.0 99.0  4.28  9.09  6.97 999  999.9   3.1   2.1 999.0 99.0
1999 01 05 17 999 99.0 99.0  4.43  9.09  7.22 999  999.9   3.1   2.1 999.0 99.0
1999 01 05 18 999 99.0 99.0  4.60  9.09  7.47 999  999.3   3.1   2.1 999.0 99.0
1999 01 05 19 999 99.0 99.0 99.00 99.00 99.00 999  999.3   3.0   2.2 999.0 99.0
1999 01 05 20 999 99.0 99.0  3.98 10.00  7.22 999  999.6   3.2   2.1 999.0 99.0
1999 01 05 21 999 99.0 99.0  4.11 10.00  7.33 999  999.7   3.2   2.2 999.0 99.0
1999 01 05 22 999 99.0 99.0  4.63 10.00  7.72 999  999.6   3.1   2.1 999.0 99.0
1999 01 05 23 999 99.0 99.0  4.86 10.00  7.71 999  999.6   3.1   2.1 999.0 99.0
1999 01 06 00 999 99.0 99.0  4.33 10.00  7.55 999  999.1   3.2   2.1 999.0 99.0
1999 01 06 01 999 99.0 99.0  4.81 10.00  7.79 999  999.9   3.2   2.1 999.0 99.0
1999 01 06 02 999 99.0 99.0  4.58 10.00  7.90 999  999.9   3.2   2.1 999.0 99.0
1999 01 06 03 999 99.0 99.0  3.90 11.11  7.25 999 1000.1   3.0   2.1 999.0 99.0
1999 01 06 04 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
1999 01 06 05 999 99.0 99.0  4.09  9.09  7.52 999 1000.7   2.9   2.1 999.0 99.0
1999 01 06 06 999 99.0 99.0  4.00 10.00  7.45 999 1001.7   2.8   2.1 999.0 99.0
1999 01 06 07 999 99.0 99.0  3.90 11.11  7.46 999 1002.3   3.0   2.1 999.0 99.0
1999 01 06 08 999 99.0 99.0  3.84 11.11  7.45 999 1002.9   2.7   2.1 999.0 99.0
1999 01 06 09 999 99.0 99.0  4.02 10.00  7.78 999 1003.7   2.3   2.1 999.0 99.0
1999 01 06 10 999 99.0 99.0  3.80 10.00  7.67 999 1005.1   2.6   2.1 999.0 99.0
1999 01 06 11 999 99.0 99.0  4.04 10.00  8.05 999 1005.9   2.8   2.1 999.0 99.0
1999 01 06 12 999 99.0 99.0  3.65 10.00  7.74 999 1006.9   2.5   2.1 999.0 99.0
1999 01 06 13 999 99.0 99.0  3.40 10.00  7.63 999 1007.6   2.4   2.1 999.0 99.0
1999 01 06 14 999 99.0 99.0  3.68 10.00  7.91 999 1007.6   2.6   2.1 999.0 99.0
1999 01 06 15 999 99.0 99.0  3.56  9.09  7.88 999 1008.0   2.7   2.1 999.0 99.0
1999 01 06 16 999 99.0 99.0  3.41  9.09  7.74 999 1008.0   2.7   2.2 999.0 99.0
1999 01 06 17 999 99.0 99.0  3.12  9.09  7.60 999 1007.9   3.0   2.3 999.0 99.0
1999 01 06 18 999 99.0 99.0  3.11  9.09  7.39 999 1008.5   2.8   2.3 999.0 99.0
1999 01 06 19 999 99.0 99.0  2.78  9.09  7.08 999 1009.2   2.9   2.3 999.0 99.0
1999 01 06 20 999 99.0 99.0  2.81  9.09  7.21 999 1009.5   3.1   2.3 999.0 99.0
1999 01 06 21 999 99.0 99.0  2.82  8.33  6.98 999 1009.9   3.1   2.2 999.0 99.0
1999 01 06 22 999 99.0 99.0  2.60  8.33  6.82 999 1010.4   2.7   2.2 999.0 99.0
1999 01 06 23 999 99.0 99.0  2.95  8.33  6.87 999 1010.1   2.6   2.2 999.0 99.0
1999 01 07 00 999 99.0 99.0  2.65  7.69  6.53 999 1009.6   2.4   2.2 999.0 99.0
1999 01 07 01 999 99.0 99.0  2.75  8.33  6.54 999 1009.2   2.3   2.2 999.0 99.0
1999 01 07 02 999 99.0 99.0  2.62 11.11  6.12 999 1008.7   2.2   2.2 999.0 99.0
1999 01 07 03 999 99.0 99.0  2.96  7.69  6.52 999 1008.4   1.9   2.2 999.0 99.0
1999 01 07 04 999 99.0 99.0  2.74  8.33  5.96 999 1008.1   1.7   2.2 999.0 99.0
1999 01 07 05 999 99.0 99.0 99.00 99.00 99.00 999 1008.4   1.6   2.2 999.0 99.0
1999 01 07 06 999 99.0 99.0  3.14  7.14  6.22 999 1008.8   1.6   2.2 999.0 99.0
1999 01 07 07 999 99.0 99.0  2.94  7.69  5.88 999 1008.2   1.9   2.2 999.0 99.0
1999 01 07 08 999 99.0 99.0  2.90  7.69  5.96 999 1008.2   1.8   2.3 999.0 99.0
1999 01 07 09 999 99.0 99.0  2.95  7.69  6.09 999 1008.1   2.1   2.3 999.0 99.0
1999 01 07 10 999 99.0 99.0  3.19  8.33  6.34 999 1007.8   1.9   2.4 999.0 99.0
1999 01 07 11 999 99.0 99.0  3.31  8.33  6.39 999 1007.6   1.9   2.4 999.0 99.0
1999 01 07 12 999 99.0 99.0  3.55  8.33  6.46 999 1007.6   2.0   2.4 999.0 99.0
1999 01 07 13 999 99.0 99.0  3.52  8.33  6.38 999 1007.3   2.0   2.3 999.0 99.0
1999 01 07 14 999 99.0 99.0  3.99  8.33  6.73 999 1007.6   2.3   2.3 999.0 99.0
1999 01 07 15 999 99.0 99.0  3.80  9.09  6.53 999 1007.6   2.3   2.4 999.0 99.0
1999 01 07 16 999 99.0 99.0  4.18  9.09  6.84 999 1007.6   2.4   2.4 999.0 99.0
1999 01 07 17 999 99.0 99.0  4.21  9.09  6.76 999 1007.8   2.5   2.4 999.0 99.0
1999 01 07 18 999 99.0 99.0  4.22  9.09  6.82 999 1008.4   2.4   2.4 999.0 99.0
1999 01 07 19 999 99.0 99.0  4.15 10.00  6.98 999 1008.7   2.4   2.4 999.0 99.0
1999 01 07 20 999 99.0 99.0  4.10  9.09  7.19 999 1009.2   1.9   2.4 999.0 99.0
1999 01 07 21 999 99.0 99.0  4.04 10.00  6.99 999 1009.8   1.5   2.4 999.0 99.0
1999 01 07 22 999 99.0 99.0  3.79 10.00  6.99 999 1010.0   1.5   2.4 999.0 99.0
1999 01 07 23 999 99.0 99.0  4.76 10.00  7.42 999 1010.1   1.6   2.4 999.0 99.0
