#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi    ft
2007 01 07 16 00 285 12.7 99.0 99.00 99.00 99.00 999 9999.0  -0.8 999.0  -2.3 99.0 99.00
2007 01 07 18 00 282 14.6 18.0  2.69  7.69  6.37 999 1020.9  -0.9   2.5  -8.4 99.0 99.00
2007 01 07 19 00 281 13.9 16.9  2.88  8.33  6.29 999 1021.2  -1.5   2.5  -9.4 99.0 99.00
2007 01 07 20 00 288 12.3 15.5  2.64  6.67  6.05 999 1022.1  -1.6   2.5  -7.2 99.0 99.00
2007 01 07 21 00 303 11.9 14.7  3.06  7.14  6.19 999 1022.5  -1.8   2.4  -6.8 99.0 99.00
2007 01 07 22 00 288 10.8 15.4 99.00 99.00 99.00 999 1023.8  -1.9   2.3  -7.8 99.0 99.00
2007 01 08 00 00 290 11.9 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2007 01 08 01 00 303 10.1 12.2  3.04  9.09  6.38 999 1025.5  -1.7   2.4  -8.8 99.0 99.00
2007 01 08 02 00 291 11.0 12.7  3.25  8.33  6.80 999 1025.9  -1.5   2.4 -10.1 99.0 99.00
2007 01 08 03 00 291  8.0  9.7  3.15  8.33  6.64 999 1026.3  -1.8   2.4 -10.0 99.0 99.00
2007 01 08 04 00 296  8.0 10.0  3.04  9.09  6.84 999 1026.6  -1.9   2.4 -10.3 99.0 99.00
2007 01 08 05 00 292  5.9  7.5  2.90  8.33  6.72 999 1027.4  -1.9   2.4 -10.7 99.0 99.00
2007 01 08 06 00 289  3.9  6.0  2.88  9.09  6.77 999 1027.8  -1.7   2.4 -11.4 99.0 99.00
2007 01 08 07 00 257  5.4  8.4  2.67  7.69  6.66 999 1027.4  -1.7   2.4  -7.7 99.0 99.00
2007 01 08 08 00 225  3.0  4.2  2.50  8.33  6.61 999 1027.7  -2.0   2.4  -9.1 99.0 99.00
2007 01 08 09 00 231  3.8  5.3  2.52  7.14  6.79 999 1026.8  -2.0   2.4  -7.3 99.0 99.00
2007 01 08 10 00 185  6.7 10.0 99.00 99.00 99.00 999 1025.9  -1.6   2.4  -8.3 99.0 99.00
2007 01 08 11 00 162  8.4 10.5 99.00 99.00 99.00 999 1025.5  -1.0   2.4  -8.7 99.0 99.00
2007 01 08 12 00 153  9.4 11.9  2.06  7.69  6.59 999 1025.0  -0.6   2.4  -8.1 99.0 99.00
2007 01 08 13 00 137 10.7 12.7  2.02  9.09  6.30 999 1023.2  -0.4   2.4  -8.1 99.0 99.00
2007 01 08 14 00 141 13.6 15.5  1.93  9.09  5.85 999 1022.5   0.0   2.4  -6.4 99.0 99.00
2007 01 08 15 00 145 15.4 17.9  2.18  7.69  5.37 999 1020.6   0.5   2.4  -4.4 99.0 99.00
2007 01 08 16 00 138 16.7 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2007 01 08 17 00 141 17.2 20.5  2.77  5.88  5.14 999 1016.3   1.2   2.4  -0.8 99.0 99.00
2007 01 08 18 00 142 18.6 23.4  2.95  6.67  5.32 999 1014.3   1.3   2.4   0.6 99.0 99.00
2007 01 08 19 00 147 18.4 99.0 99.00 99.00 99.00 999 1012.3   1.4   2.4   1.2 99.0 99.00
2007 01 08 20 00 148 20.3 25.2  3.52  7.14  5.72 999 1010.4   0.9   2.4   0.8 99.0 99.00
2007 01 08 21 00 141 19.3 23.9  3.80  7.69  5.96 999 1008.7   0.8   2.4   0.7 99.0 99.00
2007 01 08 22 00 147 21.6 28.0 99.00 99.00 99.00 999 1006.6   1.2   2.4   1.1 99.0 99.00
2007 01 08 23 00 153 21.1 25.2  4.88  9.09  6.84 999 1004.9   1.4   2.5   1.3 99.0 99.00
2007 01 09 00 00 157 19.6 24.9  5.50  9.09  7.36 999 1003.0   2.1   2.5 999.0 99.0 99.00
2007 01 09 01 00 151 19.6 22.9  6.38 10.00  8.11 999 1001.9   2.0   2.5 999.0 99.0 99.00
2007 01 09 02 00 162 20.2 99.0 99.00 99.00 99.00 999 9999.0   2.1 999.0 999.0 99.0 99.00
2007 01 09 03 00 166 19.8 23.6  6.39 10.81  8.24 999  998.0   2.0   2.5 999.0 99.0 99.00
2007 01 09 04 00 166 18.8 23.2  6.65 12.90  8.33 999  996.8   2.1   2.5 999.0 99.0 99.00
2007 01 09 05 00 166 16.7 20.3  7.18 12.12  8.80 999  996.5   2.2   2.5 999.0 99.0 99.00
2007 01 09 06 00 159 16.6 20.4  7.72 12.90  9.51 999  996.0   1.8   2.5 999.0 99.0 99.00
2007 01 09 07 00 153 15.3 18.2  7.44 12.90  9.33 999  995.0   1.3   2.5 999.0 99.0 99.00
2007 01 09 08 00 151 15.7 19.8  7.36 12.90  9.57 999  993.5   2.1   2.5 999.0 99.0 99.00
2007 01 09 09 00 166 15.8 19.6  8.15 13.79  9.92 999  991.6   2.2   2.5 999.0 99.0 99.00
2007 01 09 10 00 166 14.9 18.2  8.17 12.90  9.63 999  990.7   2.3   2.5 999.0 99.0 99.00
2007 01 09 11 00 161 15.1 17.9  7.83 14.81 10.01 999  989.3   2.7   2.5 999.0 99.0 99.00
2007 01 09 12 00 168 15.3 19.6  7.71 12.90  9.83 999  988.4   2.6   2.5 999.0 99.0 99.00
2007 01 09 13 00 167 13.8 17.2  7.53 12.90  9.71 999  987.4   3.0   2.5 999.0 99.0 99.00
2007 01 09 14 00 170 13.1 16.6  7.52 12.90  9.79 999  986.2   3.1   2.5 999.0 99.0 99.00
2007 01 09 15 00 185 11.4 14.0  7.22 12.90  9.78 999  985.6   3.2   2.5 999.0 99.0 99.00
2007 01 09 16 00 187  9.9 12.7  7.05 12.90 10.11 999  985.8   2.9   2.5 999.0 99.0 99.00
2007 01 09 17 00 183 11.8 14.8  7.31 12.90 10.67 999  986.7   2.8   2.5 999.0 99.0 99.00
2007 01 09 18 00 188 11.1 14.3  7.24 14.81 10.51 999  986.5   3.0   2.5 999.0 99.0 99.00
2007 01 09 19 00 181  9.8 11.8  6.89 14.81 10.33 999  986.6   3.2   2.5 999.0 99.0 99.00
2007 01 09 20 00 178 10.1 12.3  6.68 12.12 10.19 999  986.8   3.2   2.5 999.0 99.0 99.00
2007 01 09 21 00 167  8.7 11.6  7.03 13.79 10.66 999  986.6   2.9   2.5 999.0 99.0 99.00
2007 01 09 22 00 172  9.5 11.5  7.46 12.90 10.87 999  986.6   3.1   2.5 999.0 99.0 99.00
2007 01 09 23 00 181  9.1 11.4 99.00 99.00 99.00 999  986.3   3.1   2.5 999.0 99.0 99.00
2007 01 10 00 00 188 10.4 12.7  6.30 14.81 10.07 999  985.8   3.0   2.5 999.0 99.0 99.00
2007 01 10 01 00 198 11.0 14.9  5.75 11.43  9.53 999  985.5   2.4   2.5 999.0 99.0 99.00
