YYYY MM DD hh mm  WD  WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2005 01 04 10 00 264 13.9 17.6  4.42 10.81  7.71 999 1011.9  -1.2   2.9  -4.5 99.0 99.00
2005 01 04 11 00 285 12.7 15.8  4.74 12.90  7.84 999 1013.2  -0.8   2.9  -5.4 99.0 99.00
2005 01 04 12 00 278 12.7 15.1  4.98 12.12  7.99 999 1013.9   0.0   2.9  -8.0 99.0 99.00
2005 01 04 13 00 277 11.2 13.1  4.69 10.81  7.92 999 1015.0  -0.5   2.9  -4.5 99.0 99.00
2005 01 04 14 00 260 10.8 13.4  4.71 11.43  8.15 999 1015.7   0.1   2.9  -5.8 99.0 99.00
2005 01 04 15 00 252 10.5 12.6  4.75 12.12  8.21 999 1016.4   0.3   2.9  -5.8 99.0 99.00
2005 01 04 16 00 233 10.2 12.2  4.54 12.90  8.28 999 1017.0   0.9   2.9  -5.4 99.0 99.00
2005 01 04 17 00 223 10.3 12.9  4.59 11.43  8.45 999 1017.2   1.2   2.9  -5.3 99.0 99.00
2005 01 04 18 00 204 13.1 15.1  4.36 10.81  8.37 999 1017.6   1.6   2.9  -3.8 99.0 99.00
2005 01 04 19 00 191 13.4 15.9  4.15 12.90  7.99 999 1017.8   2.1   2.9  -2.5 99.0 99.00
2005 01 04 20 00 188 15.8 19.4  4.29 12.12  7.98 999 1017.5   2.4   2.9  -0.8 99.0 99.00
2005 01 04 21 00 185 16.1 19.5  4.41 12.12  7.79 999 1017.2   2.1   2.9   0.7 99.0 99.00
2005 01 04 22 00 201 14.8 18.3  4.34 12.12  7.45 999 1016.8   2.7   2.9   1.3 99.0 99.00
2005 01 04 23 00 212 14.3 16.6  4.14 10.81  7.32 999 1016.9   2.9   2.9   1.6 99.0 99.00
2005 01 05 00 00 234 14.4 18.5  4.30 12.12  7.25 999 1016.4   3.7   2.9   2.2 99.0 99.00
2005 01 05 01 00 235 14.9 19.0  4.26 11.43  7.12 999 1017.1   3.7   2.9   2.2 99.0 99.00
2005 01 05 02 00 242 15.5 18.9  4.18  7.69  7.01 999 1017.4   3.7   2.9   2.2 99.0 99.00
2005 01 05 03 00 244 15.8 19.7  4.02 11.43  6.86 999 1018.0   4.0   2.9   2.2 99.0 99.00
2005 01 05 04 00 237 14.6 17.8  4.22 12.12  7.06 999 1019.5   4.0   2.9   2.2 99.0 99.00
2005 01 05 05 00 226 15.3 17.4  4.10 12.12  7.18 999 1021.6   4.0   2.9   2.0 99.0 99.00
2005 01 05 06 00 228 15.2 18.1  4.12 11.43  7.40 999 1023.0   3.9   2.9   1.9 99.0 99.00
2005 01 05 07 00 223 14.9 17.6  4.50 10.00  7.51 999 1024.5   3.7   2.9   1.9 99.0 99.00
2005 01 05 08 00 223 13.6 16.2  4.15  9.09  7.23 999 1025.5   3.8   2.9   1.8 99.0 99.00
2005 01 05 09 00 222 14.9 18.3  4.25 10.81  7.53 999 1027.0   3.9   2.9   1.9 99.0 99.00
2005 01 05 10 00 221 13.8 17.5  4.17 12.12  7.31 999 1028.1   3.7   2.9   2.0 99.0 99.00
2005 01 05 11 00 222 13.4 16.7  4.46 11.43  7.70 999 1028.7   3.8   2.9   1.8 99.0 99.00
2005 01 05 12 00 219 14.6 17.5  4.65 11.43  7.79 999 1029.8   3.6   2.9   1.4 99.0 99.00
2005 01 05 13 00 232 16.4 20.8  4.93 11.43  8.10 999 1030.0   3.6   2.9   0.1 99.0 99.00
2005 01 05 14 00 231 14.5 18.6  4.67 12.12  7.71 999 1030.6   3.3   2.9   0.2 99.0 99.00
2005 01 05 15 00 234 14.7 18.1  5.02 11.43  7.82 999 1031.3   3.2   2.9  -0.4 99.0 99.00
