YYYY MM DD hh  WD  WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2004 01 06 21  85 12.9 15.4  3.51  9.09  6.78 999 1024.3   2.9   3.5  -1.3 99.0 99.00
2004 01 06 22  84 12.8 15.0  3.77  9.09  6.82 999 1023.6   2.9   3.5  -1.3 99.0 99.00
2004 01 06 23  79 12.8 15.3  3.87  9.09  6.84 999 1023.2   2.7   3.5  -1.0 99.0 99.00
2004 01 07 00  81 12.6 15.2  3.68  9.09  6.64 999 1022.5   2.5   3.5  -0.8 99.0 99.00
2004 01 07 01  76 13.1 15.7  3.57  9.09  6.75 999 1022.2   2.3   3.5  -0.7 99.0 99.00
2004 01 07 02  79 13.6 15.8  3.59  8.33  6.65 999 1022.2   2.3   3.5  -0.8 99.0 99.00
2004 01 07 03  78 14.3 16.5  3.83 10.00  6.93 999 1022.3   2.2   3.5  -1.0 99.0 99.00
2004 01 07 04  84 14.0 17.1  4.21  9.09  7.20 999 1022.3   2.1   3.5  -1.2 99.0 99.00
2004 01 07 05  82 14.9 17.8  4.05  9.09  6.91 999 1022.6   2.1   3.5  -1.6 99.0 99.00
2004 01 07 06  92 14.7 17.1  4.56 10.00  7.36 999 1022.6   1.9   3.5  -2.0 99.0 99.00
2004 01 07 07  88 15.2 17.9  5.12 10.00  7.68 999 1022.8   2.1   3.5  -2.4 99.0 99.00
2004 01 07 08  81 15.0 18.0  5.10 10.00  7.80 999 1022.9   2.1   3.5  -2.7 99.0 99.00
2004 01 07 09  79 14.6 17.8  4.60 10.00  7.32 999 1022.9   2.0   3.5  -2.4 99.0 99.00
2004 01 07 10  85 15.0 17.4  4.92 10.81  7.45 999 1022.6   1.8   3.5  -2.7 99.0 99.00
2004 01 07 11  84 14.2 17.4  4.89 10.81  7.62 999 1022.7   1.9   3.5  -2.6 99.0 99.00
2004 01 07 12  79 14.2 17.5  5.04 11.43  7.72 999 1023.0   2.0   3.5  -2.1 99.0 99.00
2004 01 07 13  77 15.4 18.1  4.82 11.43  7.57 999 1022.9   1.8   3.5  -2.3 99.0 99.00
2004 01 07 14  74 14.8 17.6  5.03 10.81  7.59 999 1023.0   1.7   3.5  -2.9 99.0 99.00
2004 01 07 15  69 13.7 16.4  4.16 10.81  7.20 999 1022.6   1.9   3.5  -2.6 99.0 99.00
2004 01 07 16  69 13.6 16.0  4.94 11.43  7.71 999 1022.7   1.8   3.5  -2.7 99.0 99.00
2004 01 07 17  71 14.1 16.3  4.65 10.81  7.64 999 1022.6   1.8   3.5  -3.4 99.0 99.00
2004 01 07 18  71 12.4 15.3  4.57 10.81  7.86 999 1022.4   1.8   3.5  -3.4 99.0 99.00
2004 01 07 19  68 12.1 14.5  4.53 10.81  7.70 999 1022.1   1.6   3.5  -3.2 99.0 99.00
2004 01 07 20  69 12.8 15.2  4.12 10.81  7.50 999 1022.1   1.5   3.5  -3.7 99.0 99.00
2004 01 07 21  59 11.3 13.4  4.10 10.81  7.30 999 1021.8   1.4   3.5  -3.3 99.0 99.00
2004 01 07 22  64 11.6 13.5  4.28 10.00  7.48 999 1021.6   1.3   3.5  -3.5 99.0 99.00
2004 01 07 23  59 11.6 13.6  4.09 10.81  7.27 999 1021.0   1.2   3.5  -4.2 99.0 99.00
2004 01 08 00  53  9.4 11.2  3.67 10.81  6.91 999 1020.6   1.2   3.5  -3.6 99.0 99.00
2004 01 08 01  44  9.9 12.8  4.02 10.00  7.43 999 1019.8   0.9   3.5  -3.5 99.0 99.00
2004 01 08 02  46 10.4 12.6  3.51 10.81  7.25 999 1019.2   0.7   3.5  -3.6 99.0 99.00
2004 01 08 03  43 10.5 12.9  3.61  9.09  7.18 999 1018.9   0.6   3.5  -3.7 99.0 99.00
2004 01 08 04  45 10.7 13.3  3.47 10.00  7.04 999 1018.5   0.3   3.5  -4.1 99.0 99.00
2004 01 08 05  42 10.9 14.0  3.18 10.00  6.75 999 1018.0   0.3   3.5  -4.4 99.0 99.00
2004 01 08 06  42 11.8 13.4  3.45 10.00  7.11 999 1017.3   0.1   3.5  -4.6 99.0 99.00
2004 01 08 07  36 12.4 15.5  3.18 10.00  6.54 999 1016.9   0.2   3.4  -4.4 99.0 99.00
2004 01 08 08  40 11.7 14.9  3.23 10.00  6.54 999 1016.2   0.1   3.4  -5.1 99.0 99.00
2004 01 08 09  46 12.4 15.5  3.42 10.00  6.59 999 1016.1  -0.1   3.4  -5.7 99.0 99.00
2004 01 08 10  43 12.5 15.4  3.22 10.00  6.29 999 1015.5   0.0   3.4  -4.9 99.0 99.00
2004 01 08 11  37 12.6 15.9  3.01 10.00  6.12 999 1015.0  -0.3   3.4  -5.8 99.0 99.00
2004 01 08 12  48 11.4 14.6  3.23 10.00  6.08 999 1014.5  -0.4   3.4  -5.6 99.0 99.00
2004 01 08 13  48 12.8 17.3  3.23  9.09  6.26 999 1014.4  -0.7   3.5  -6.3 99.0 99.00
2004 01 08 14  44 12.3 14.9  3.29  9.09  6.52 999 1014.0  -1.1   3.4  -6.6 99.0 99.00
2004 01 08 15  37 13.3 16.2  3.73  8.33  6.85 999 1014.0  -1.2   3.4  -7.2 99.0 99.00
2004 01 08 16  28 12.6 16.3  3.59  9.09  6.76 999 1013.4  -1.2   3.5  -6.9 99.0 99.00
2004 01 08 17  28 13.8 17.0  3.80 10.00  7.13 999 1013.0  -1.0   3.5  -6.5 99.0 99.00
2004 01 08 18  39 14.6 17.2  3.59 10.00  6.74 999 1012.3  -1.1   3.5  -6.4 99.0 99.00
2004 01 08 19  30 14.1 16.7  3.72  9.09  6.87 999 1011.6  -1.0   3.4  -6.5 99.0 99.00
2004 01 08 20  33 13.9 17.0  4.03 10.00  6.89 999 1010.8  -1.0   3.4  -6.3 99.0 99.00
2004 01 08 21  15 14.6 17.5  4.71  9.09  7.33 999 1010.6  -1.2   3.4  -6.9 99.0 99.00
