YY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS
96 01 05 00  80  9.1 11.5 99.00 99.00 99.00 999 1023.2   3.5   3.4 999.0 99.0
96 01 05 01 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
96 01 05 02 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
96 01 05 03  81  7.3 10.3  2.75 11.11  7.01 999 1023.7   3.6   3.4 999.0 99.0
96 01 05 04 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
96 01 05 05 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
96 01 05 06  63  7.8 10.1  2.33  7.69  6.30 999 1024.8   3.5   3.4 999.0 99.0
96 01 05 07 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
96 01 05 08 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
96 01 05 09  69  7.5  9.9  2.23  7.69  6.03 999 1025.3   3.0   3.4 999.0 99.0
96 01 05 10 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
96 01 05 11 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
96 01 05 12  63  8.2 10.3  2.20  7.69  5.95 999 1026.1   2.3   3.4 999.0 99.0
96 01 05 13 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
96 01 05 14 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
96 01 05 15  50  7.6  9.2  2.22  8.33  6.17 999 1025.8   3.1   3.4 999.0 99.0
96 01 05 16 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
96 01 05 17 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
96 01 05 18  46  9.9 13.0  2.25  7.69  5.81 999 1025.7   1.4   3.4 999.0 99.0
96 01 05 19 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
96 01 05 20 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
96 01 05 21  53 11.2 15.6  2.63 10.00  5.74 999 1026.3   1.6   3.4 999.0 99.0
96 01 05 22 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
96 01 05 23 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
96 01 06 00  47 10.0 14.0  2.99  6.67  5.98 999 1026.4   1.7   3.4 999.0 99.0
96 01 06 01 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
96 01 06 02 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
96 01 06 03  36 11.0 14.5  2.93  7.14  6.09 999 1025.7    .9   3.4 999.0 99.0
96 01 06 04 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
96 01 06 05 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
96 01 06 06  33 11.5 16.0  3.38  7.69  6.36 999 1025.6    .3   3.4 999.0 99.0
96 01 06 07 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
96 01 06 08 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
96 01 06 09  35 11.4 16.4  3.55  8.33  6.35 999 1025.4    .6   3.3 999.0 99.0
96 01 06 10 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
96 01 06 11 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
96 01 06 12  30 11.1 14.8  3.90  8.33  6.66 999 1024.8    .3   3.3 999.0 99.0
96 01 06 13 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
96 01 06 14 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
96 01 06 15  17 11.9 16.4  3.59  8.33  6.59 999 1023.2    .4   3.3 999.0 99.0
96 01 06 16 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
96 01 06 17 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
96 01 06 18   4 13.3 18.3  4.31 10.00  6.93 999 1021.1    .9   3.3 999.0 99.0
96 01 06 19 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
96 01 06 20 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
96 01 06 21  10 13.0 17.7  5.02 10.00  7.52 999 1020.7    .5   3.3 999.0 99.0
96 01 06 22 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
96 01 06 23 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
96 01 07 00  12 11.8 16.4  4.54 10.00  7.27 999 1019.8    .0   3.3 999.0 99.0
96 01 07 01 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
96 01 07 02 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
96 01 07 03  30 10.9 16.3  4.26 10.00  7.37 999 1019.5    .1   3.3 999.0 99.0
96 01 07 04 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
96 01 07 05 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
96 01 07 06  14 10.2 13.7  3.58 11.11  7.06 999 1019.3   -.2   3.3 999.0 99.0
96 01 07 07 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
96 01 07 08 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
96 01 07 09   8 11.1 14.6  3.46 10.00  6.79 999 1019.0    .3   3.3 999.0 99.0
96 01 07 10 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
96 01 07 11 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
96 01 07 12  11 10.0 13.5  3.76 10.00  7.00 999 1018.3    .0   3.3 999.0 99.0
96 01 07 13 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
96 01 07 14 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
96 01 07 15   7 10.3 13.9  3.35 10.00  6.80 999 1017.3   -.2   3.3 999.0 99.0
96 01 07 16 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
96 01 07 17 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
96 01 07 18  13  9.3 12.5  3.44 10.00  6.99 999 1016.7    .0   3.4 999.0 99.0
96 01 07 19 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
96 01 07 20 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
96 01 07 21 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
96 01 07 22 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
96 01 07 23 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
96 01 08 00  15  7.9 10.8  2.76  9.09  6.33 999 1017.0    .0   3.3 999.0 99.0
96 01 08 01 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
96 01 08 02 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
96 01 08 03  13  7.9 10.7  2.57  9.09  6.32 999 1017.1   -.5   3.4 999.0 99.0
96 01 08 04 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
96 01 08 05 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
96 01 08 06  23  9.0 13.1  2.80  9.09  6.40 999 1018.0  -1.1   3.4 999.0 99.0
96 01 08 07 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
96 01 08 08 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
96 01 08 09 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
96 01 08 10 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
96 01 08 11 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
96 01 08 12  30  7.4 10.5  2.36  9.09  6.12 999 1021.2  -1.3   3.4 999.0 99.0
96 01 08 13 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
96 01 08 14 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
96 01 08 15  36  7.6 10.4  2.15  8.33  5.71 999 1022.5  -1.9   3.3 999.0 99.0
96 01 08 16 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
96 01 08 17 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
96 01 08 18  41  8.2 11.1  2.37  8.33  6.00 999 1023.9  -1.7   3.3 999.0 99.0
96 01 08 19 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
96 01 08 20 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
96 01 08 21  31  8.2 11.4  2.44  8.33  5.99 999 1025.5  -1.9   3.3 999.0 99.0
96 01 08 22 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
96 01 08 23 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
96 01 09 00  32  7.6 10.7  2.32  8.33  6.14 999 1026.3  -1.6   3.3 999.0 99.0
96 01 09 01 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
96 01 09 02 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
96 01 09 03  17  8.3 10.9  2.04  8.33  5.93 999 1026.4  -2.3   3.3 999.0 99.0
96 01 09 04 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
96 01 09 05 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
96 01 09 06  31  7.8 10.5  2.41  8.33  6.06 999 1027.1  -2.7   3.3 999.0 99.0
96 01 09 07 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
96 01 09 08 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
96 01 09 09  16  6.3  8.4  2.11  7.69  6.03 999 1027.9  -2.3   3.3 999.0 99.0
96 01 09 10 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
96 01 09 11 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
96 01 09 12  20  6.5 10.2  1.85  7.69  5.95 999 1027.7  -1.8   3.3 999.0 99.0
96 01 09 13 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
96 01 09 14 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
96 01 09 15  17  6.3  8.6  1.73  7.69  5.73 999 1026.7  -2.0   3.2 999.0 99.0
96 01 09 16 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
96 01 09 17 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
96 01 09 18  24  5.9  8.5  1.64  7.69  5.72 999 1025.8  -1.6   3.3 999.0 99.0
96 01 09 19 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
96 01 09 20 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
96 01 09 21  19  5.5  7.9  1.53  7.69  5.43 999 1026.3  -2.0   3.3 999.0 99.0
