"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"177","RT @Tesla_Token: 2 more investors then we will announce the winners

2 out of the next 5 investors gets 1000000 TLS
And  The highest invest…",FALSE,0,NA,2018-05-06 19:52:38,FALSE,NA,"993216989702361088",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","GodwinNwokpor",228,TRUE,FALSE,NA,NA
"178","RT @allpublicart: We've shown you pictures from the #Coachella weekend estate but this video is on a totally different level! The #AllPubli…",FALSE,0,NA,2018-05-06 19:52:30,FALSE,NA,"993216957703958529",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","fibbertalk",131,TRUE,FALSE,NA,NA
"179","RT @_alexisMAURICE: NEVER FORGET! #beyonce #coachella #beychella #beyhive https://t.co/eZciBewWrg",FALSE,0,NA,2018-05-06 19:51:52,FALSE,NA,"993216799872372736",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","tauries_",25,TRUE,FALSE,NA,NA
"180","Bella Hadid Attended Levi's #Coachella #Brunch #Party - https://t.co/IvywSpu61j
#BellaHadid #Levis #PalmSprings,… https://t.co/DnLNXwRxra",FALSE,0,NA,2018-05-06 19:50:27,TRUE,NA,"993216441175412736",NA,"<a href=""https://www.glamistan.com"" rel=""nofollow"">Glamistan</a>","GlamistanDotCom",0,FALSE,FALSE,NA,NA
"181","RT @bastien_trips: Bye bye #Coachella. Hope to see you again <ed><U+00A0><U+00BD><ed><U+00B8><U+0098> https://t.co/2vJVcXmpCg",FALSE,0,NA,2018-05-06 19:50:21,FALSE,NA,"993216415221022720",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","roomhodispa1973",1,TRUE,FALSE,NA,NA
"182","RT @chrislake: I want you at the @thedolab Sick vibes! #coachella https://t.co/2j7RTAuv41",FALSE,0,NA,2018-05-06 19:45:44,FALSE,NA,"993215254283763713",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ppedro1220",930,TRUE,FALSE,NA,NA
"183","RT @allpublicart: We've shown you pictures from the #Coachella weekend estate but this video is on a totally different level! The #AllPubli…",FALSE,0,NA,2018-05-06 19:43:33,FALSE,NA,"993214705295650817",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","freeboardkogi",131,TRUE,FALSE,NA,NA
"184","RT @allpublicart: We've shown you pictures from the #Coachella weekend estate but this video is on a totally different level! The #AllPubli…",FALSE,0,NA,2018-05-06 19:39:27,FALSE,NA,"993213672045465600",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","atmospherefable",131,TRUE,FALSE,NA,NA
"185","RT @allpublicart: We've shown you pictures from the #Coachella weekend estate but this video is on a totally different level! The #AllPubli…",FALSE,0,NA,2018-05-06 19:36:00,FALSE,NA,"993212803547877377",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","nishyrappi1971",131,TRUE,FALSE,NA,NA
"186","RT @allpublicart: We've shown you pictures from the #Coachella weekend estate but this video is on a totally different level! The #AllPubli…",FALSE,0,NA,2018-05-06 19:34:50,FALSE,NA,"993212513247522820",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","MinisterOnline",131,TRUE,FALSE,NA,NA
"187","RT @TheThirst: GOOD MORNING!! we're back with our seventeenth episode &amp; it's a long one (sorry 'bout it!). we talk #lovesimon #aquietplace…",FALSE,0,NA,2018-05-06 19:30:31,FALSE,NA,"993211424242454529",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","2GirlsOnaBench",4,TRUE,FALSE,NA,NA
"188","RT @allpublicart: We've shown you pictures from the #Coachella weekend estate but this video is on a totally different level! The #AllPubli…",FALSE,0,NA,2018-05-06 19:29:04,FALSE,NA,"993211059988295680",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","signalerforebit",131,TRUE,FALSE,NA,NA
"189","RT @_alexisMAURICE: NEVER FORGET! #beyonce #coachella #beychella #beyhive https://t.co/eZciBewWrg",FALSE,0,NA,2018-05-06 19:28:47,FALSE,NA,"993210989624643591",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Bonolo21924248",25,TRUE,FALSE,NA,NA
"190","RT @allpublicart: We've shown you pictures from the #Coachella weekend estate but this video is on a totally different level! The #AllPubli…",FALSE,0,NA,2018-05-06 19:28:20,FALSE,NA,"993210874310557696",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","overduetired",131,TRUE,FALSE,NA,NA
"191","RT @allpublicart: We've shown you pictures from the #Coachella weekend estate but this video is on a totally different level! The #AllPubli…",FALSE,0,NA,2018-05-06 19:27:05,FALSE,NA,"993210561239265280",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","drakethesnakec1",131,TRUE,FALSE,NA,NA
"192","RT @allpublicart: We've shown you pictures from the #Coachella weekend estate but this video is on a totally different level! The #AllPubli…",FALSE,0,NA,2018-05-06 19:26:13,FALSE,NA,"993210341420032000",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Bacchusthestrip",131,TRUE,FALSE,NA,NA
