"","screenName","text","retweetCount","favoriteCount","score","absolute_score","lon","lat"
"44","Aravindhkm","RT @NayantharaU: #Coachella2018 #StageCoach 
<ed><U+00A0><U+00BC><ed><U+00BC><U+009F> <ed><U+00A0><U+00BD><ed><U+00B2><U+00AB> great moments ! #VikkyNayan https://t.co/f5ttGG92f7",618,0,1,1,78.1197754,9.9252007
"45","arcucufo1972","RT @allpublicart: We've shown you pictures from the #Coachella weekend estate but this video is on a totally different level! The #AllPubli…",130,0,0,0,NA,NA
"46","Arud_Ajay","RT @NayantharaU: #Coachella2018 #StageCoach 
<ed><U+00A0><U+00BC><ed><U+00BC><U+009F> <ed><U+00A0><U+00BD><ed><U+00B2><U+00AB> great moments ! #VikkyNayan https://t.co/f5ttGG92f7",618,0,1,1,80.1901219,12.9753604
"47","ArulSiva20","RT @NayantharaU: #Coachella2018 #StageCoach 
<ed><U+00A0><U+00BC><ed><U+00BC><U+009F> <ed><U+00A0><U+00BD><ed><U+00B2><U+00AB> great moments ! #VikkyNayan https://t.co/f5ttGG92f7",618,0,1,1,78.1361409,12.1065271
"48","Arun76457947","RT @NayantharaU: #Coachella2018 #StageCoach 
<ed><U+00A0><U+00BC><ed><U+00BC><U+009F> <ed><U+00A0><U+00BD><ed><U+00B2><U+00AB> great moments ! #VikkyNayan https://t.co/f5ttGG92f7",618,0,1,1,80.2707184,13.0826802
"49","Arunachalasiva4","RT @NayantharaU: #Coachella2018 #StageCoach 
<ed><U+00A0><U+00BC><ed><U+00BC><U+009F> <ed><U+00A0><U+00BD><ed><U+00B2><U+00AB> great moments ! #VikkyNayan https://t.co/f5ttGG92f7",618,0,1,1,NA,NA
"50","ArunDwi19162507","RT @NayantharaU: #Coachella2018 #StageCoach 
<ed><U+00A0><U+00BC><ed><U+00BC><U+009F> <ed><U+00A0><U+00BD><ed><U+00B2><U+00AB> great moments ! #VikkyNayan https://t.co/f5ttGG92f7",618,0,1,1,NA,NA
"51","ashikahamed143","#Coachella2018 #StageCoach 
<ed><U+00A0><U+00BC><ed><U+00BC><U+009F> <ed><U+00A0><U+00BD><ed><U+00B2><U+00AB> great moments ! #VikkyNayan @NayantharaU https://t.co/y1UXV7rUGo",0,0,1,1,79.6694186,12.2184353
"52","ASK4697","RT @NayantharaU: #Coachella2018 #StageCoach 
<ed><U+00A0><U+00BC><ed><U+00BC><U+009F> <ed><U+00A0><U+00BD><ed><U+00B2><U+00AB> great moments ! #VikkyNayan https://t.co/f5ttGG92f7",618,0,1,1,78.8334566,9.370589
"53","atmospherefable","RT @allpublicart: We've shown you pictures from the #Coachella weekend estate but this video is on a totally different level! The #AllPubli…",130,0,0,0,NA,NA
"54","auditside","RT @allpublicart: We've shown you pictures from the #Coachella weekend estate but this video is on a totally different level! The #AllPubli…",130,0,0,0,NA,NA
"55","babycakesromero","Soulwax light up California: (plse click on link to see full gallery)

https://t.co/KGYrnRx2fD

@soulwax #soulwax… https://t.co/8DrsAZnkiN",6,22,0,0,-0.1277583,51.5073509
"56","Bacchusthestrip","RT @allpublicart: We've shown you pictures from the #Coachella weekend estate but this video is on a totally different level! The #AllPubli…",130,0,0,0,NA,NA
"57","bagelscommunity","RT @allpublicart: We've shown you pictures from the #Coachella weekend estate but this video is on a totally different level! The #AllPubli…",130,0,0,0,NA,NA
"58","balucannamalai","RT @NayantharaU: #Coachella2018 #StageCoach 
<ed><U+00A0><U+00BC><ed><U+00BC><U+009F> <ed><U+00A0><U+00BD><ed><U+00B2><U+00AB> great moments ! #VikkyNayan https://t.co/f5ttGG92f7",618,0,1,1,78.1460142,11.664325
"59","bANAana__","RT @kabahitaaaa: tell me this picture don’t belong on the cover of something ??? #coachella2018 #Coachella18 https://t.co/w0rH40WTsy",30,0,0,0,NA,NA
"60","bandanarenal","RT @allpublicart: We've shown you pictures from the #Coachella weekend estate but this video is on a totally different level! The #AllPubli…",130,0,0,0,NA,NA
"61","banknotelacking","RT @allpublicart: We've shown you pictures from the #Coachella weekend estate but this video is on a totally different level! The #AllPubli…",130,0,0,0,105.318756,61.52401
"62","Baraniekaran7","RT @NayantharaU: #Coachella2018 #StageCoach 
<ed><U+00A0><U+00BC><ed><U+00BC><U+009F> <ed><U+00A0><U+00BD><ed><U+00B2><U+00AB> great moments ! #VikkyNayan https://t.co/f5ttGG92f7",618,0,1,1,78.6568942,11.1271225
"63","bashee45663143","RT @NayantharaU: #Coachella2018 #StageCoach 
<ed><U+00A0><U+00BC><ed><U+00BC><U+009F> <ed><U+00A0><U+00BD><ed><U+00B2><U+00AB> great moments ! #VikkyNayan https://t.co/f5ttGG92f7",618,0,1,1,95.955974,21.916221
"64","betathaw","RT @allpublicart: We've shown you pictures from the #Coachella weekend estate but this video is on a totally different level! The #AllPubli…",130,0,0,0,NA,NA
"65","bezzleerking","RT @TwitterMusic: The most Tweeted-about celebrities during #Coachella2018 were:

<U+2796> @Beyonce
<U+2796> @theMasonRamsey
<U+2796> @justinbieber
<U+2796> @rihanna
<U+2796>…",206,0,0,0,NA,NA
"66","bharatmoments","RT @NayantharaU: #Coachella2018 #StageCoach 
<ed><U+00A0><U+00BC><ed><U+00BC><U+009F> <ed><U+00A0><U+00BD><ed><U+00B2><U+00AB> great moments ! #VikkyNayan https://t.co/f5ttGG92f7",618,0,1,1,NA,NA
"67","biebotbievote","RT @fatnayoyo: Cutes<ed><U+00A0><U+00BD><ed><U+00B2><U+0095> justinbieber #purpose #cute #beliebers #coachella2018 #justinbieber… https://t.co/aic8EDEAP5",2,0,1,1,NA,NA
"68","biebseokjin","RT @kissonbiebs: THIS IS BY FAR THE BEST THING THAT HAPPENED IN 2018 AND I NEED ALL THE SELFIES #COACHELLA2018 https://t.co/Zw6t8UU7LB",20630,0,1,1,28.824722,41.0456474
"69","biiiancafowler","RT @mhowshar: @tylerthecreator My garden is watered and my flowers are growing. Thanks for being the inspiration. #Coachella2018 #tylerthec…",28,0,1,1,133.775136,-25.274398
"70","Billa45288146","RT @NayantharaU: #Coachella2018 #StageCoach 
<ed><U+00A0><U+00BC><ed><U+00BC><U+009F> <ed><U+00A0><U+00BD><ed><U+00B2><U+00AB> great moments ! #VikkyNayan https://t.co/f5ttGG92f7",618,0,1,1,79.3140301,10.4252814
"71","bimbomolecule","RT @allpublicart: We've shown you pictures from the #Coachella weekend estate but this video is on a totally different level! The #AllPubli…",130,0,0,0,105.318756,61.52401
"72","bittergcse","RT @allpublicart: We've shown you pictures from the #Coachella weekend estate but this video is on a totally different level! The #AllPubli…",130,0,0,0,NA,NA
"73","blessedUmu","<ed><U+00A0><U+00BC><ed><U+00BE><U+00A1><ed><U+00A0><U+00BC><ed><U+00BE><U+00A1><ed><U+00A0><U+00BC><ed><U+00BE><U+00A1>

One last throwback to Coachella<ed><U+00A0><U+00BD><ed><U+00B9><U+008C><ed><U+00A0><U+00BC><ed><U+00BF><U+00BE>

#coachella2018… https://t.co/YLwUaIRbiG",0,1,0,0,-0.1277583,51.5073509
